tn,fp,fn,tp,accuracy,specificity,recall,score,threshold,vetoed
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.37,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.3710808443338383,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.375,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.38,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.38426922765652227,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.385,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.39,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.395,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.4,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.405,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.40986318765909696,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.41000000000000003,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.41500000000000004,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.42,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.425,0
149,24,21,588,0.9424552429667519,0.861271676300578,0.9655172413793104,et_fault_prob,0.43,0
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.4327889743687451,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.435,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.44,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.445,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.45,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.455,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.4589949457436943,1
149,24,22,587,0.9411764705882353,0.861271676300578,0.9638752052545156,et_fault_prob,0.46,1
150,23,22,587,0.9424552429667519,0.8670520231213873,0.9638752052545156,et_fault_prob,0.465,2
150,23,23,586,0.9411764705882353,0.8670520231213873,0.9622331691297209,et_fault_prob,0.4671603187123055,3
151,22,24,585,0.9411764705882353,0.8728323699421965,0.9605911330049262,et_fault_prob,0.46979383400711383,5
151,22,24,585,0.9411764705882353,0.8728323699421965,0.9605911330049262,et_fault_prob,0.47000000000000003,5
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.47500000000000003,6
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.48,6
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.485,6
151,22,25,584,0.9398976982097187,0.8728323699421965,0.9589490968801314,et_fault_prob,0.49,6
151,22,26,583,0.9386189258312021,0.8728323699421965,0.9573070607553367,et_fault_prob,0.495,7
151,22,27,582,0.9373401534526854,0.8728323699421965,0.9556650246305419,et_fault_prob,0.5,8
151,22,28,581,0.9360613810741688,0.8728323699421965,0.9540229885057471,et_fault_prob,0.505,9
151,22,28,581,0.9360613810741688,0.8728323699421965,0.9540229885057471,et_fault_prob,0.5064699653166966,9
151,22,28,581,0.9360613810741688,0.8728323699421965,0.9540229885057471,et_fault_prob,0.51,9
152,21,28,581,0.9373401534526854,0.8786127167630058,0.9540229885057471,et_fault_prob,0.515,10
152,21,30,579,0.9347826086956522,0.8786127167630058,0.9507389162561576,et_fault_prob,0.52,12
152,21,30,579,0.9347826086956522,0.8786127167630058,0.9507389162561576,et_fault_prob,0.525,12
152,21,31,578,0.9335038363171355,0.8786127167630058,0.9490968801313628,et_fault_prob,0.5274872358660541,13
152,21,32,577,0.9322250639386189,0.8786127167630058,0.9474548440065681,et_fault_prob,0.53,14
152,21,32,577,0.9322250639386189,0.8786127167630058,0.9474548440065681,et_fault_prob,0.535,14
152,21,34,575,0.9296675191815856,0.8786127167630058,0.9441707717569786,et_fault_prob,0.54,16
152,21,34,575,0.9296675191815856,0.8786127167630058,0.9441707717569786,et_fault_prob,0.545,16
153,20,34,575,0.9309462915601023,0.884393063583815,0.9441707717569786,et_fault_prob,0.55,17
