model,seed,threshold,accuracy,specificity,recall,precision,f1,fp,fn
pfx600_rf_sw0.0,69,0.27341585871034024,0.8888888888888888,0.6666666666666666,0.9523809523809523,0.9090909090909091,0.9302325581395349,2,1
pfx600_rf_sw0.0,72,0.57,0.8,1.0,0.7368421052631579,1.0,0.8484848484848485,0,5
pfx600_rf_sw0.0,73,0.7463387067107877,0.7307692307692307,0.8333333333333334,0.7,0.9333333333333333,0.8,1,6
pfx600_rf_sw0.0,88,0.69,0.7407407407407407,0.6,0.7727272727272727,0.8947368421052632,0.8292682926829268,2,5
pfx600_rf_sw0.0,91,0.38999999999999996,0.8333333333333334,0.6,0.8947368421052632,0.8947368421052632,0.8947368421052632,2,2
pfx600_rf_sw0.0,97,0.32999999999999996,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_rf_sw0.0,102,0.44999999999999996,0.8888888888888888,0.6,0.9545454545454546,0.9130434782608695,0.9333333333333333,2,1
pfx600_rf_sw0.0,110,0.49999999999999994,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_rf_sw0.0,113,0.41,0.8846153846153846,0.5,1.0,0.8695652173913043,0.9302325581395349,3,0
pfx600_rf_sw0.0,114,0.42,0.9285714285714286,1.0,0.9090909090909091,1.0,0.9523809523809523,0,2
pfx600_rf_sw0.0,119,0.735489256910486,0.68,0.8333333333333334,0.631578947368421,0.9230769230769231,0.75,1,7
pfx600_rf_sw0.0,130,0.5299999999999999,0.88,0.8,0.9,0.9473684210526315,0.9230769230769231,1,2
pfx600_rf_sw0.0,131,0.45999999999999996,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_rf_sw0.0,145,0.52,0.72,0.8,0.7,0.9333333333333333,0.8,1,6
pfx600_rf_sw0.0,160,0.7699999999999999,0.68,1.0,0.5789473684210527,1.0,0.7333333333333333,0,8
pfx600_rf_sw0.0,170,0.43999999999999995,0.8928571428571429,0.8333333333333334,0.9090909090909091,0.9523809523809523,0.9302325581395349,1,2
