accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.20,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,conformal_alpha0.15,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,q90_alpha0.15,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.15,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,conformal_alpha0.10,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,q90_alpha0.10,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.10,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,conformal_alpha0.05,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,q90_alpha0.05,0.0
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.39000000000001,97,max_alpha0.05,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.20,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.20,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.20,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.15,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.15,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.15,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.10,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.10,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.10,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,conformal_alpha0.05,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,q90_alpha0.05,0.0
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.095,102,max_alpha0.05,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.20,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.20,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.20,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.15,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.15,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.15,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.10,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.10,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.10,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,conformal_alpha0.05,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,q90_alpha0.05,0.0
0.8846153846153846,1.0,0.85,1.0,0.9189189189189189,0.0,0,3,40.1,99.99999999999997,110,max_alpha0.05,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,conformal_alpha0.20,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,q90_alpha0.20,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,max_alpha0.20,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,conformal_alpha0.15,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,q90_alpha0.15,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,max_alpha0.15,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,conformal_alpha0.10,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,q90_alpha0.10,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,max_alpha0.10,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,conformal_alpha0.05,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,q90_alpha0.05,0.0
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,140.0,113,max_alpha0.05,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,conformal_alpha0.20,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,q90_alpha0.20,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,max_alpha0.20,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,conformal_alpha0.15,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,q90_alpha0.15,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,max_alpha0.15,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,conformal_alpha0.10,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,q90_alpha0.10,0.0
0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465117,0.0,0,1,40.0,90.0,114,max_alpha0.10,0.0
